tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,total_amount,trip_distance,trip_duration
2022-01-02 14:20:50,2022-01-02 14:24:22,1.0,10.56,1.3,3
2022-01-02 14:06:32,2022-01-02 14:09:44,1.0,9.36,0.8,3
2022-01-02 14:37:09,2022-01-02 14:41:41,2.0,9.96,0.65,4
2022-01-02 14:33:03,2022-01-02 14:36:03,1.0,9.35,0.8,3
2022-01-02 14:54:40,2022-01-02 15:00:04,2.0,11.16,0.96,5
2022-01-02 14:02:25,2022-01-02 14:10:59,1.0,13.0,1.65,8
2022-01-02 14:41:00,2022-01-02 14:47:33,2.0,11.84,1.39,6
2022-01-02 14:24:49,2022-01-02 14:27:06,1.0,9.49,0.43,2
2022-01-02 14:52:30,2022-01-02 14:55:13,1.0,9.75,0.76,2
2022-01-02 14:48:48,2022-01-02 14:51:51,1.0,8.8,1.2,3
2022-01-02 14:55:52,2022-01-02 15:00:47,2.0,9.86,1.13,4
2022-01-02 14:16:12,2022-01-02 14:25:41,1.0,14.16,1.47,9
2022-01-02 14:40:59,2022-01-02 14:44:12,3.0,8.97,0.79,3
2022-01-02 14:49:40,2022-01-02 14:52:25,5.0,9.36,0.88,2
2022-01-02 14:06:13,2022-01-02 14:12:13,1.0,11.76,0.9,6
2022-01-02 14:22:12,2022-01-02 14:26:04,1.0,9.75,0.6,3
2022-01-02 15:01:29,2022-01-02 15:05:21,1.0,9.96,0.91,3
2022-01-02 15:24:55,2022-01-02 15:28:22,1.0,9.3,0.75,3
2022-01-02 15:36:55,2022-01-02 15:44:37,1.0,12.36,1.28,7
2022-01-02 15:00:26,2022-01-02 15:04:24,1.0,9.68,1.0,3
2022-01-02 15:54:00,2022-01-02 15:59:38,1.0,9.3,1.0,5
2022-01-02 15:20:18,2022-01-02 15:26:13,0.0,12.25,1.5,5
2022-01-02 15:49:52,2022-01-02 15:58:57,1.0,12.95,1.5,9
2022-01-02 15:16:43,2022-01-02 15:24:03,0.0,12.95,1.6,7
2022-01-02 15:07:47,2022-01-02 15:12:50,1.0,11.76,1.49,5
2022-01-02 15:27:13,2022-01-02 15:32:10,1.0,10.3,1.0,4
2022-01-02 15:00:59,2022-01-02 15:07:07,1.0,12.0,1.3,6
2022-01-02 15:44:27,2022-01-02 15:47:01,1.0,7.3,0.49,2
2022-01-02 15:06:00,2022-01-02 15:10:55,1.0,9.8,1.73,4
2022-01-02 15:25:45,2022-01-02 15:29:27,0.0,10.0,0.8,3
2022-01-02 15:33:25,2022-01-02 15:40:01,1.0,11.3,1.51,6
2022-01-02 15:21:40,2022-01-02 15:26:19,5.0,9.3,1.07,4
2022-01-02 15:48:42,2022-01-02 15:50:34,3.0,8.3,0.7,1
2022-01-02 15:01:41,2022-01-02 15:05:27,2.0,11.8,1.6,3
2022-01-02 15:30:14,2022-01-02 15:41:43,1.0,13.3,2.1,11
2022-01-02 15:34:28,2022-01-02 15:39:36,2.0,11.76,1.5,5
2022-01-02 15:47:12,2022-01-02 15:52:48,3.0,8.8,0.8,5
2022-01-02 15:31:35,2022-01-02 15:36:49,1.0,10.56,0.84,5
2022-01-02 15:24:26,2022-01-02 15:29:59,2.0,11.76,1.17,5
2022-01-02 15:30:09,2022-01-02 15:33:01,1.0,8.97,0.88,2
2022-01-02 15:21:52,2022-01-02 15:26:39,1.0,11.16,1.25,4
2022-01-02 15:57:33,2022-01-02 16:01:57,1.0,9.3,1.2,4
2022-01-02 15:30:59,2022-01-02 15:37:21,2.0,12.36,1.54,6
2022-01-02 15:48:58,2022-01-02 15:52:29,0.0,10.3,0.8,3
2022-01-02 16:36:18,2022-01-02 16:41:51,1.0,11.15,1.1,5
2022-01-02 16:35:43,2022-01-02 16:40:54,1.0,12.7,1.4,5
2022-01-02 16:49:01,2022-01-02 16:53:19,1.0,10.56,1.0,4
2022-01-02 16:41:14,2022-01-02 16:47:38,1.0,11.84,1.45,6
2022-01-02 16:39:13,2022-01-02 16:50:17,1.0,15.36,1.81,11
2022-01-02 16:17:09,2022-01-02 16:23:46,1.0,12.35,1.4,6
2022-01-02 16:02:58,2022-01-02 16:08:42,1.0,11.16,1.0,5
2022-01-02 16:29:02,2022-01-02 16:31:41,1.0,8.76,0.6,2
2022-01-02 16:41:53,2022-01-02 16:46:51,3.0,11.8,0.91,4
2022-01-02 16:40:30,2022-01-02 16:47:14,1.0,10.8,1.27,6
2022-01-02 16:05:53,2022-01-02 16:09:19,1.0,10.79,0.82,3
2022-01-02 16:31:00,2022-01-02 16:35:04,1.0,8.8,1.05,4
2022-01-02 16:06:41,2022-01-02 16:13:57,4.0,13.35,1.4,7
2022-01-02 16:14:59,2022-01-02 16:22:37,1.0,13.3,1.62,7
2022-01-02 16:13:28,2022-01-02 16:19:44,1.0,11.63,0.9,6
2022-01-02 16:50:03,2022-01-02 16:57:38,2.0,12.36,1.22,7
2022-01-02 16:02:09,2022-01-02 16:04:07,1.0,9.1,0.6,1
2022-01-02 16:51:30,2022-01-02 16:57:37,1.0,13.55,1.4,6
2022-01-02 16:30:17,2022-01-02 16:35:37,2.0,11.16,1.27,5
